ID tce k1_i k2_i m1_i m2_i r1_i r2_i mc1_i mc2_i rc1_i rc2_i sma_i ecc_i  k1_f k2_f m1_f m2_f r1_f r2_f sma_f  remark
     113    12.9554   5  1  16.173  11.240 1.37e+03 4.63e+00   6.400   0.000 8.35e+01 0.00e+00 3.33e+03 3.43e-02    8  1   6.400  11.240 8.35e+01 4.63e+00 2.52e+02   Others
     115    19.9363   4  1  12.349  11.588 1.28e+02 8.42e+00   3.957   0.000 8.22e-01 0.00e+00 3.22e+03 9.58e-01    7  1   3.957  11.588 8.22e-01 8.42e+00 2.75e+01   MergerOf13-13
     115    20.6958  13  4   1.255  11.583 0.00e+00 1.38e+02   0.000   2.681 0.00e+00 5.30e+00 3.60e+01 2.30e-01   13  7   1.255   2.681 0.00e+00 5.30e+00 1.77e+00   MergerOf13-13
     117     9.8478   4  1  20.821  10.064 2.31e+02 3.47e+00   7.157   0.000 1.90e+00 0.00e+00 2.73e+03 9.17e-01    7  1   7.157  10.064 1.90e+00 3.47e+00 2.84e+01   Others
     122    26.2700   4  4   9.925  10.016 5.40e+02 5.38e+02   2.219   2.202 6.55e-01 6.53e-01 4.46e+01 0.00e+00    7  7   2.219   2.202 6.55e-01 6.53e-01 1.74e+00   Others
     129    12.1688   4  4  17.582  17.296 3.82e+02 4.43e+01   6.107   5.200 7.91e-01 8.58e-02 1.48e+03 7.32e-01    7  7   6.107   5.200 7.91e-01 8.58e-02 2.98e+00   Others
     132     5.1954   4  1  39.018  29.002 1.41e+03 1.08e+01  15.429   0.000 3.52e+01 0.00e+00 1.02e+04 8.69e-01    7  1  15.429  29.002 3.52e+01 1.08e+01 3.16e+02   Others
     133     9.3392  14  4   8.678  43.357 0.00e+00 5.36e+02   0.000  16.035 0.00e+00 4.67e+01 2.15e+02 5.76e-01   14  7   8.678  16.035 0.00e+00 4.67e+01 2.25e+01   Others
     135     7.5615  14  4  12.831  54.196 0.00e+00 1.41e+03   0.000  21.587 0.00e+00 1.11e+02 8.92e+02 4.86e-01   14  7  12.831  21.587 0.00e+00 1.11e+02 8.42e+01   Others
     136    11.3954   5  1  17.027  16.991 1.54e+03 8.08e+00   7.237   0.000 1.78e+02 0.00e+00 2.67e+03 3.63e-01    8  1   7.237  16.991 1.78e+02 8.08e+00 3.79e+02   Others
     142    11.9496   5  1  16.998  17.180 1.45e+03 1.16e+01   6.909   0.000 1.15e+02 0.00e+00 3.82e+03 5.74e-01    8  1   6.909  17.180 1.15e+02 1.16e+01 3.78e+02   Others
     144    13.3408  13  4   1.776  30.436 0.00e+00 1.33e+02   0.000   9.926 0.00e+00 1.34e+00 1.54e+02 8.46e-01   13  7   1.776   9.926 0.00e+00 1.34e+00 1.81e+00   Others
     147     6.6805  14  4  15.903  64.157 0.00e+00 2.62e+03   0.000  27.030 0.00e+00 7.07e+02 1.80e+02 3.21e-01   14  7  15.903  27.030 0.00e+00 7.07e+02 5.74e+01   Others
     153    14.0990   4  1  15.734  12.189 5.30e+02 4.33e+00   5.511   0.000 3.66e+00 0.00e+00 1.21e+04 9.57e-01    7  1   5.511  12.189 3.66e+00 4.33e+00 1.07e+02   Others
     155    17.2078   5  1  13.428  10.827 1.65e+03 4.49e+00   4.991   0.000 9.87e+01 0.00e+00 4.15e+03 3.82e-02    8  1   4.991  10.827 9.87e+01 4.49e+00 3.14e+02   Others
     158    25.9448   3  2  10.033  10.028 5.28e+02 1.40e+02   2.206   2.194 1.24e+00 3.27e-01 1.39e+03 3.23e-01    7  7   2.206   2.194 1.24e+00 3.27e-01 3.25e+00   Others
     158    30.0436   8  8   2.188   2.177 1.23e+00 7.68e-01   1.213   1.162 5.05e-02 3.10e-02 3.24e+00 0.00e+00   12 12   1.213   1.162 5.05e-02 3.10e-02 1.32e-01   Others
     160    13.6706   4  1  16.085  14.981 1.71e+02 1.10e+01   5.364   0.000 5.15e-01 0.00e+00 9.84e+03 9.82e-01    7  1   5.364  14.981 5.15e-01 1.10e+01 3.88e+01   Others
     162     6.7100  14  4  16.448  62.168 0.00e+00 2.30e+03   0.000  25.906 0.00e+00 5.24e+01 7.54e+03 6.99e-01   14  7  16.448  25.906 0.00e+00 5.24e+01 2.03e+02   Others
     167    21.3467   2  1  11.346  10.146 1.95e+02 5.60e+00   2.598   0.000 3.11e+00 0.00e+00 1.01e+03 8.03e-01    7  1   2.598  10.146 3.11e+00 5.60e+00 2.33e+01   Others
     170    20.9788   5  4  11.904  11.969 1.13e+03 1.39e+02   4.247   3.836 3.92e+00 4.59e-01 2.98e+03 4.82e-03    8  7   4.247   3.836 3.92e+00 4.59e-01 1.01e+01   Others
     174     7.2462  14  4  15.155  57.447 0.00e+00 2.64e+03   0.000  23.357 0.00e+00 4.04e+02 7.24e+02 3.39e-01   14  7  15.155  23.357 0.00e+00 4.04e+02 1.32e+02   Others
     177    15.4443  14  4  17.220  15.313 0.00e+00 2.61e+02   0.000   5.198 0.00e+00 1.29e+00 1.14e+04 9.78e-01   14  7  17.220   5.198 0.00e+00 1.29e+00 7.39e+01   Others
     180    24.4792   3  1  10.401  10.371 3.98e+02 8.06e+00   2.316   0.000 1.49e+01 0.00e+00 7.89e+02 1.05e-01    7  1   2.316  10.371 1.49e+01 8.06e+00 4.30e+01   Others
     180    24.6080   7  4   2.315  10.370 3.79e-01 5.85e+02   0.000   2.307 0.00e+00 6.37e+01 4.30e+01 0.00e+00    7  7   2.315   2.307 3.79e-01 6.37e+01 6.32e+00   Others
     180    28.2641   8  8   2.294   2.289 2.41e+00 4.79e-01   1.334   1.163 4.49e-02 8.40e-03 6.35e+00 0.00e+00   12 12   1.334   1.163 4.49e-02 8.40e-03 1.15e-01   Others
     181    11.6305   5  1  17.272  11.667 1.49e+03 4.98e+00   7.093   0.000 9.56e+01 0.00e+00 3.60e+03 5.44e-01    8  1   7.093  11.667 9.56e+01 4.98e+00 2.84e+02   Others
     182     6.2790   4  1  31.780  31.044 5.48e+02 1.99e+01  11.666   0.000 2.54e+01 0.00e+00 2.20e+03 7.43e-01    7  1  11.666  31.044 2.54e+01 1.99e+01 1.30e+02   Others
     189     8.2195  14  4   9.251  49.220 0.00e+00 8.85e+02   0.000  18.901 0.00e+00 1.50e+02 1.22e+02 8.94e-02   14  7   9.251  18.901 0.00e+00 1.50e+02 2.47e+01   Others
