mass1,radius1,vx1,vy1,vz1,x1,y1,z1,ax1,ay1,az1,mass2,radius2,vx2,vy2,vz2,x2,y2,z2,ax2,ay2,az2,time
2.0439330282124402e+33,125060846407.13835,2614256.3905706718,19694.773134120558,-2800.1040182287575,2123342611.8842661,-1602201011385.6885,-31999908452.06889, 0.3944196529498744,4.751216382577773,-0.6755041042479311,3.97784e+33,125060846407.13835,-10450471.159416646,-73509.91302589748,14.094204020832354,-18053259173.124924,6223144431876.74,24347.832183404593, 0.0035219464938482845,-17.733715472224816,0.0034001210670032136, 0.0
2.0439330282124402e+33,125060846407.13835,2614256.3905706718,19694.773134120558,-2800.1040182287575,6640810930.050201,-1602166978567.0293,-32004747067.45315, 0.3944196529498744,4.751216382577773,-0.6755041042479311,3.97784e+33,125060846407.13835,-10450471.159416646,-73509.91302589748,14.094204020832354,-36111806354.20915,6223017405811.374,48702.79612784704, 0.0035219464938482845,-17.733715472224816,0.0034001210670032136, 1728.0
2.0439330282124402e+33,125060846407.13835,2614256.3905706718,19694.773134120558,-2800.1040182287575,11158279248.216139,-1602132945748.37,-32009585682.83742, 0.3944196529498744,4.751216382577773,-0.6755041042479311,3.97784e+33,125060846407.13835,-10450471.159416646,-73509.91302589748,14.094204020832354,-54170353535.29341,6222890379746.008,73057.76007228962, 0.0035219464938482845,-17.733715472224816,0.0034001210670032136, 3456.0
2.0439330282124402e+33,125060846407.13835,2614256.3905706718,19694.773134120558,-2800.1040182287575,15675747566.382048,-1602098912929.7112,-32014424298.221684, 0.3944196529498744,4.751216382577773,-0.6755041042479311,3.97784e+33,125060846407.13835,-10450471.159416646,-73509.91302589748,14.094204020832354,-72228900716.37778,6222763353680.642,97412.72401673219, 0.0035219464938482845,-17.733715472224816,0.0034001210670032136, 5184.0
2.0439330282124402e+33,125060846407.13835,2616824.415901008,58283.197237592125,-4964.9907257273135,20194112496.704845,-1602051407171.4526,-32020018772.092747, 0.30975843025154853,4.654584024139866,-0.2611313448762734,3.97784e+33,125060846407.13835,-10448345.716897197,-220527.05145735623,42.09924602537908,-90286705810.70029,6222584997376.42,131545.49693321757, 0.25637353753379116,-17.73339128809524,0.0033780032260504293, 6912.0
2.0439330282124402e+33,125060846407.13835,2616824.415901008,58283.197237592125,-4964.9907257273135,24716018395.328415,-1601950693064.7756,-32028598339.263134, 0.30975843025154853,4.654584024139866,-0.2611313448762734,3.97784e+33,125060846407.13835,-10448345.716897197,-220527.05145735623,42.09924602537908,-108341580200.05734,6222203923824.544,204293.5299204516, 0.25637353753379116,-17.73339128809524,0.0033780032260504293, 8640.0
2.0439330282124402e+33,125060846407.13835,2616824.415901008,58283.197237592125,-4964.9907257273135,29237924293.951923,-1601849978958.0981,-32037177906.43351, 0.30975843025154853,4.654584024139866,-0.2611313448762734,3.97784e+33,125060846407.13835,-10448345.716897197,-220527.05145735623,42.09924602537908,-126396454589.41429,6221822850272.668,277041.56290768564, 0.25637353753379116,-17.73339128809524,0.0033780032260504293, 10368.0
2.0439330282124402e+33,125060846407.13835,2616824.415901008,58283.197237592125,-4964.9907257273135,33759830192.575424,-1601749264851.421,-32045757473.603897, 0.30975843025154853,4.654584024139866,-0.2611313448762734,3.97784e+33,125060846407.13835,-10448345.716897197,-220527.05145735623,42.09924602537908,-144451328978.77124,6221441776720.792,349789.59589491965, 0.25637353753379116,-17.73339128809524,0.0033780032260504293, 12096.0
2.0439330282124402e+33,125060846407.13835,2616824.415901008,58283.197237592125,-4964.9907257273135,38281736091.19892,-1601648550744.7437,-32054337040.77428, 0.30975843025154853,4.654584024139866,-0.2611313448762734,3.97784e+33,125060846407.13835,-10448345.716897197,-220527.05145735623,42.09924602537908,-162506203368.12817,6221060703168.915,422537.6288821536, 0.25637353753379116,-17.73339128809524,0.0033780032260504293, 13824.0
2.0439330282124402e+33,125060846407.13835,2626392.740426035,95852.85426484385,-3323.7603129107256,42810328288.98825,-1601521583142.4004,-32061769724.024563, 1.154143282777047,4.531699064013545,0.19796726704735548,3.97784e+33,125060846407.13835,-10444119.233682396,-367549.54287905473,79.62014330584034,-180558124311.33914,6220576891007.036,521505.0844579403, 0.5098036964960745,-17.734036972479355,0.004525817602313442, 15552.0
