mass1,radius1,vx1,vy1,vz1,x1,y1,z1,ax1,ay1,az1,mass2,radius2,vx2,vy2,vz2,x2,y2,z2,ax2,ay2,az2,time
7.72659656623814e+32,21509020612.77471,-1013.0581165795393,-569.1623597692166,768.3126942650932,-3311678067.3941092,-549573883.2217145,-1356777982.8520694, -0.05144694834311368,0.0004469368418091635,0.04992780824733615,1.1933519999999997e+33,21509020612.77471,35841.20224873593,-1937292.1274014425,0.02427947794365624,-25147461492236.082,49507364157969.31,220.61568599134006, 0.017797526627059298,-0.035033765897765384,1.4765467996939665e-06, 0.0
7.72659656623814e+32,21509020612.77471,-1542.2464492108825,-1106.5290858221167,1537.8802915236379,-3333696766.9868283,-564972408.8941402,-1335552941.2463253, -0.052108390011281154,-0.012502878108503087,0.02320436641895398,1.1933519999999997e+33,21509020612.77471,36149.43322798183,-1937898.6508820103,0.04984278731311667,-25146839244965.97,49473882375943.125,882.1438040836231, 0.017826124849375465,-0.0350671729445983,1.4790170349799408e-06, 1728.0
7.72659656623814e+32,21509020612.77471,-1865.7117565998299,-1688.9530548656396,2272.3935030809093,-3363518811.4076376,-589737402.5751215,-1301916198.1936252, -0.025715880416784836,-0.0376101704035662,0.052219526887948405,1.1933519999999997e+33,21509020612.77471,36458.15964244263,-1938505.753006843,0.07552314530212285,-25146211674136.934,49440390122191.445,1985.751908999664, 0.017854785127283446,-0.03510064354462736,1.488809161836342e-06, 3456.0
7.72659656623814e+32,21509020612.77471,-2098.4744430775345,-2125.681258631631,2958.20887032332,-3397822225.051857,-623578881.8563001,-1256340844.9045043, -0.014120267860438478,0.002163473656835188,0.0431613746449622,1.1933519999999997e+33,21509020612.77471,36767.38255385859,-1939113.4346423761,0.1014413904740424,-25145578771201.023,49406887386733.66,3534.5824534102967, 0.017883503873791146,-0.035134156416676166,1.5047097597499646e-06, 5184.0
7.72659656623814e+32,21509020612.77471,-2433.6910908067853,-1718.085154998858,3680.4433003642985,-3436060233.08806,-655761529.6432114,-1198939787.1527684, -0.04071256346448106,0.01284234466242504,0.04860356116644598,1.1933519999999997e+33,21509020612.77471,37077.10300491844,-1939721.696849122,0.12779482229305325,-25144940527592.516,49373374159574.055,5534.470668774103, 0.017912286980910814,-0.03516774368591879,1.5347154858618523e-06, 6912.0
7.72659656623814e+32,21509020612.77471,-2692.889210808917,-1114.0452214654442,4408.4384881057285,-3481101160.56602,-679810871.779227,-1128266278.837132, -0.010705441512608523,0.03354953114712546,0.04723066209726785,1.1933519999999997e+33,21509020612.77471,37387.32214707094,-1940330.540990646,0.15464237967981728,-25144296934727.227,49339850430695.086,7993.810628218658, 0.017941134357279495,-0.03520140112190077,1.5616554504985043e-06, 8640.0
7.72659656623814e+32,21509020612.77471,-2880.0021433070165,-424.8755652720274,5224.555012392681,-3529010363.9677277,-692486432.8647242,-1044801479.7109375, -0.020975157762617096,0.030889058193728714,0.05066394788416271,1.1933519999999997e+33,21509020612.77471,37698.04112400205,-1940939.9680859363,0.18192810305221546,-25143647984000.688,49306316190058.69,10920.419888914694, 0.017970056063205498,-0.035235115315268996,1.59127991112741e-06, 10368.0
7.72659656623814e+32,21509020612.77471,-3336.7891522828145,173.4643183735937,6077.1184819245245,-3583410624.2849445,-694543939.494404,-946591072.4057276, -0.015485602024704859,0.038560115614169777,0.04731370282797586,1.1933519999999997e+33,21509020612.77471,38009.261203454924,-1941549.979141271,0.20973107593563992,-25142993666787.72,49272771427609.89,14322.769116213844, 0.017999047086122735,-0.035268897346779085,1.6200388951569992e-06, 12096.0
7.72659656623814e+32,21509020612.77471,-3633.431568606098,807.015676840491,6888.533112851228,-3643431032.3075824,-685468051.635314,-833941602.6626899, -0.025040671591924777,0.030638580010387204,0.047450032811597,1.1933519999999997e+33,21509020612.77471,38320.983549523946,-1942160.5753823817,0.23825299868243757,-25142333974442.152,49239216133274.65,18211.009210072043, 0.01802810416599789,-0.03530274810313848,1.671758969860026e-06, 13824.0
7.72659656623814e+32,21509020612.77471,-3861.9375268802733,1355.5363289137806,7615.8016432310515,-3708987103.1565046,-666681945.1020328,-707803136.1981149, -0.00042226517887451054,0.032858593853347974,0.039617682850080875,1.1933519999999997e+33,21509020612.77471,38633.20934545447,-1942771.7579824443,0.2676776790223382,-25141668898297.47,49205650296957.07,22599.686661080097, 0.018057230781072776,-0.03533666116256894,1.722520305531851e-06, 15552.0
